sample,configuration,teacher_action_mse
sample-0045.npz,MLP no clip,0.17874085903167725
sample-0046.npz,MLP no clip,0.3621874749660492
sample-0047.npz,MLP no clip,0.32041358947753906
sample-0048.npz,MLP no clip,0.4171096384525299
sample-0049.npz,MLP no clip,0.2682332396507263
sample-0050.npz,MLP no clip,0.1448996514081955
sample-0051.npz,MLP no clip,0.058479588478803635
sample-0052.npz,MLP no clip,0.10732673108577728
sample-0053.npz,MLP no clip,0.3640511929988861
sample-0054.npz,MLP no clip,0.3626781404018402
sample-0055.npz,MLP no clip,0.16002380847930908
sample-0056.npz,MLP no clip,0.05672421678900719
sample-0057.npz,MLP no clip,0.2669978141784668
sample-0058.npz,MLP no clip,0.17309507727622986
sample-0059.npz,MLP no clip,0.1186186820268631
sample-0060.npz,MLP no clip,0.2963697910308838
sample-0061.npz,MLP no clip,0.028872404247522354
sample-0062.npz,MLP no clip,0.25909435749053955
sample-0063.npz,MLP no clip,0.3179762661457062
sample-0032.npz,W4 blocks 10-12; rest clipped,5.671141624450684
sample-0033.npz,W4 blocks 10-12; rest clipped,3.2619144916534424
sample-0034.npz,W4 blocks 10-12; rest clipped,1.8790054321289062
sample-0035.npz,W4 blocks 10-12; rest clipped,5.357245445251465
sample-0036.npz,W4 blocks 10-12; rest clipped,3.5113987922668457
sample-0037.npz,W4 blocks 10-12; rest clipped,4.767646312713623
sample-0038.npz,W4 blocks 10-12; rest clipped,4.1310648918151855
sample-0039.npz,W4 blocks 10-12; rest clipped,3.360825300216675
sample-0040.npz,W4 blocks 10-12; rest clipped,3.167789936065674
sample-0041.npz,W4 blocks 10-12; rest clipped,1.945353388786316
sample-0042.npz,W4 blocks 10-12; rest clipped,5.260050296783447
sample-0043.npz,W4 blocks 10-12; rest clipped,4.593466281890869
sample-0044.npz,W4 blocks 10-12; rest clipped,5.314894199371338
sample-0045.npz,W4 blocks 10-12; rest clipped,2.1989433765411377
sample-0046.npz,W4 blocks 10-12; rest clipped,3.1819872856140137
sample-0047.npz,W4 blocks 10-12; rest clipped,2.5737826824188232
sample-0048.npz,W4 blocks 10-12; rest clipped,1.5146563053131104
sample-0049.npz,W4 blocks 10-12; rest clipped,4.413769721984863
sample-0050.npz,W4 blocks 10-12; rest clipped,5.655712127685547
sample-0051.npz,W4 blocks 10-12; rest clipped,5.331145286560059
sample-0052.npz,W4 blocks 10-12; rest clipped,4.907966613769531
sample-0053.npz,W4 blocks 10-12; rest clipped,1.6971627473831177
sample-0054.npz,W4 blocks 10-12; rest clipped,4.878990650177002
sample-0055.npz,W4 blocks 10-12; rest clipped,4.455459117889404
sample-0056.npz,W4 blocks 10-12; rest clipped,3.5151875019073486
sample-0057.npz,W4 blocks 10-12; rest clipped,0.8061603903770447
sample-0058.npz,W4 blocks 10-12; rest clipped,3.364302396774292
sample-0059.npz,W4 blocks 10-12; rest clipped,2.429185152053833
sample-0060.npz,W4 blocks 10-12; rest clipped,3.4486358165740967
sample-0061.npz,W4 blocks 10-12; rest clipped,3.774165391921997
sample-0062.npz,W4 blocks 10-12; rest clipped,3.7771129608154297
sample-0063.npz,W4 blocks 10-12; rest clipped,4.496665000915527
