rank,frames,mean_action_mse,gripper_disagreement_steps,adapter_parameters,training_steps,mean_unexplained_weight_residual
4,32,0.06740638395422138,12,2498560,0,0.9942501187324524
8,32,0.0672341589233838,13,4997120,0,0.991014224077974
