initialization,rank,frames,calibration_frames,adapter_parameters,training_steps,mean_action_mse,gripper_disagreement_steps,mean_unexplained_weight_residual,mean_unexplained_input_diagonal_residual
all token diagonal RMS,8,32,8,4997120,0,0.06573509858571924,14,0.993685205067907,0.9078315975410598
action token diagonal RMS,8,32,8,4997120,0,0.06544164670049213,13,0.9941409517611776,0.9264024687664849
