norm,linear,case,tokens,input_space,mse,relative_mse,reference_rms,candidate_rms,cosine,max_abs_error,reference_zero_fraction,candidate_zero_fraction
vision_backbone.fused_featurizer.blocks.0.norm1,vision_backbone.fused_featurizer.blocks.0.attn.qkv,bf16,8,first_camera_teacher_first_8_flattened_tokens,6.215575922396965e-06,4.925611864013e-06,1.1233383729200956,1.1233735084533691,0.9999986886978149,0.03125,0.0,0.0
vision_backbone.fused_featurizer.blocks.0.norm1,vision_backbone.fused_featurizer.blocks.0.attn.qkv,fp32_transform_cast_bf16,8,first_camera_teacher_first_8_flattened_tokens,7.39632241675281e-06,5.86130937838719e-06,1.1233383729200956,1.1230933666229248,0.9999979734420776,0.03125,0.0,0.0
vision_backbone.fused_featurizer.blocks.0.norm2,vision_backbone.fused_featurizer.blocks.0.mlp.fc1,fp32,8,first_camera_teacher_first_8_flattened_tokens,1.3529404850674658e-14,1.0387474544568801e-15,3.608979042429968,3.6089789867401123,1.000000238418579,9.5367431640625e-07,0.0,0.0
vision_backbone.fused_featurizer.blocks.0.norm2,vision_backbone.fused_featurizer.blocks.0.mlp.fc1,bf16,8,first_camera_teacher_first_8_flattened_tokens,1.8658784028957598e-05,1.4326347408934492e-06,3.6088923672433304,3.6086394786834717,1.0000067949295044,0.0625,0.0,0.0
vision_backbone.fused_featurizer.blocks.0.norm2,vision_backbone.fused_featurizer.blocks.0.mlp.fc1,fp32_transform_cast_bf16,8,first_camera_teacher_first_8_flattened_tokens,1.8984776033903472e-05,1.4576646394556578e-06,3.6088923672433304,3.609035015106201,1.0000067949295044,0.0625,0.0,0.0
vision_backbone.fused_featurizer.blocks.13.norm1,vision_backbone.fused_featurizer.blocks.13.attn.qkv,fp32,8,first_camera_teacher_first_8_flattened_tokens,1.0067200877453015e-14,8.186249667940834e-15,1.1089497678059113,1.1089497804641724,0.9999998807907104,9.5367431640625e-07,0.0,0.0
vision_backbone.fused_featurizer.blocks.13.norm1,vision_backbone.fused_featurizer.blocks.13.attn.qkv,bf16,8,first_camera_teacher_first_8_flattened_tokens,9.880420293484349e-06,8.035646890708376e-06,1.108861455121447,1.1089468002319336,0.9999985694885254,0.0625,0.0,0.0
vision_backbone.fused_featurizer.blocks.13.norm1,vision_backbone.fused_featurizer.blocks.13.attn.qkv,fp32_transform_cast_bf16,8,first_camera_teacher_first_8_flattened_tokens,1.0964532521029469e-05,8.917344510008711e-06,1.108861455121447,1.1089825630187988,0.9999979734420776,0.03125,0.0,0.0
vision_backbone.fused_featurizer.blocks.13.norm2,vision_backbone.fused_featurizer.blocks.13.mlp.fc1,fp32,8,first_camera_teacher_first_8_flattened_tokens,2.0853924056346562e-14,4.185170616832523e-15,2.2322216194425866,2.232221841812134,0.9999995231628418,9.5367431640625e-07,0.0,0.0
vision_backbone.fused_featurizer.blocks.13.norm2,vision_backbone.fused_featurizer.blocks.13.mlp.fc1,bf16,8,first_camera_teacher_first_8_flattened_tokens,2.0089102690690197e-05,4.031565314714628e-06,2.232253020701595,2.231928825378418,1.0000070333480835,0.03125,0.0,0.0
vision_backbone.fused_featurizer.blocks.13.norm2,vision_backbone.fused_featurizer.blocks.13.mlp.fc1,fp32_transform_cast_bf16,8,first_camera_teacher_first_8_flattened_tokens,2.1175512301851995e-05,4.2495905482638744e-06,2.232253020701595,2.2321088314056396,1.000006914138794,0.03125,0.0,0.0
vision_backbone.fused_featurizer.blocks.25.norm1,vision_backbone.fused_featurizer.blocks.25.attn.qkv,fp32,8,first_camera_teacher_first_8_flattened_tokens,1.0446433621564763e-14,1.019451915830624e-14,1.0122799881562867,1.012279987335205,0.9999996423721313,9.5367431640625e-07,0.0,0.0
vision_backbone.fused_featurizer.blocks.25.norm1,vision_backbone.fused_featurizer.blocks.25.attn.qkv,bf16,8,first_camera_teacher_first_8_flattened_tokens,1.1622953934420366e-05,1.1342241631543883e-05,1.0122990067278623,1.0122140645980835,0.999996542930603,0.0625,0.0,0.0
vision_backbone.fused_featurizer.blocks.25.norm1,vision_backbone.fused_featurizer.blocks.25.attn.qkv,fp32_transform_cast_bf16,8,first_camera_teacher_first_8_flattened_tokens,1.124528262153035e-05,1.0973691664618922e-05,1.0122990067278623,1.0124564170837402,0.9999969601631165,0.0625,0.0,0.0
vision_backbone.fused_featurizer.blocks.25.norm2,vision_backbone.fused_featurizer.blocks.25.mlp.fc1,fp32,8,first_camera_teacher_first_8_flattened_tokens,3.738733281299922e-12,3.692341703137328e-15,31.820815043294086,31.82081413269043,0.9999995827674866,7.62939453125e-06,0.0,0.0
vision_backbone.fused_featurizer.blocks.25.norm2,vision_backbone.fused_featurizer.blocks.25.mlp.fc1,bf16,8,first_camera_teacher_first_8_flattened_tokens,0.003077399218454957,3.039151064539387e-06,31.821143034827784,31.81736183166504,1.0000085830688477,0.25,0.0,0.0
vision_backbone.fused_featurizer.blocks.25.norm2,vision_backbone.fused_featurizer.blocks.25.mlp.fc1,fp32_transform_cast_bf16,8,first_camera_teacher_first_8_flattened_tokens,0.003036940935999155,2.9991956270200657e-06,31.821143034827784,31.821685791015625,1.0000085830688477,0.5,0.0,0.0
