configuration,env_seed,init_state_dtype,init_state_index,init_state_sha256,init_state_shape,model_seed,protocol,task_id,success
"Fixed W2 coordinates, stage 8-15 W4",479881589,float64,0,4e3eaf7a315bc3bafb6db4837c8eef0e5f8aea717782a2a3ea33139392d966ed,[92],465287134,paired,0,True
"Fixed W2 coordinates, stage 8-15 W4",1902436990,float64,0,d116842e01703fbea595511db813a3816c8d9f2302b4e979ebec4f15b7a750a2,[92],895221483,paired,1,True
"Fixed W2 coordinates, stage 8-15 W4",149951664,float64,0,408c455fb617e5320060d643ef80ec2035d4e98600659cc3deb5a1e85482bf76,[92],1881067349,paired,2,True
"Fixed W2 coordinates, stage 8-15 W4",83054608,float64,0,36424fa758f0e72399a35cefa285d0658e4b5bd17bfb3e2127f85aa2e0944517,[92],317574532,paired,3,True
"Fixed W2 coordinates, stage 8-15 W4",454137582,float64,0,2e3f91b350eaef1b23c2d4ee14c513b2158a106bff7ed6c249b58e2cf89367f4,[92],2839725875,paired,4,False
"Fixed W2 coordinates, stage 8-15 W4",1251647445,float64,0,63f019944e240d60a5770936f1eaa3853e38bbfeb1c26c987826fb004ed4346c,[92],1544747915,paired,5,True
"Fixed W2 coordinates, stage 8-15 W4",826398649,float64,0,d81530779b15be6bdfe4935a7a802102e3e3883823b29fefd40a2131e50fd515,[92],1638194258,paired,6,True
"Fixed W2 coordinates, stage 8-15 W4",3272506420,float64,0,501105aff4e1897d96cac0d0ee69fc702ad209e317511807e27df8b421ae1f2a,[92],2049932347,paired,7,False
"Fixed W2 coordinates, stage 8-15 W4",1263820061,float64,0,aef30979e2ee8c9893c9161c881264362f750a34df952f381e3969a567688451,[92],1552913463,paired,8,True
"Fixed W2 coordinates, stage 8-15 W4",3561507932,float64,0,885cdd89e3d71824f79e4f0ae4711f9ca04367c0011147cb657ecc32be3f375b,[92],450174816,paired,9,True
"Searched W4 profile, stage 8-15",479881589,float64,0,4e3eaf7a315bc3bafb6db4837c8eef0e5f8aea717782a2a3ea33139392d966ed,[92],465287134,paired,0,True
"Searched W4 profile, stage 8-15",1902436990,float64,0,d116842e01703fbea595511db813a3816c8d9f2302b4e979ebec4f15b7a750a2,[92],895221483,paired,1,True
"Searched W4 profile, stage 8-15",149951664,float64,0,408c455fb617e5320060d643ef80ec2035d4e98600659cc3deb5a1e85482bf76,[92],1881067349,paired,2,True
"Searched W4 profile, stage 8-15",83054608,float64,0,36424fa758f0e72399a35cefa285d0658e4b5bd17bfb3e2127f85aa2e0944517,[92],317574532,paired,3,True
"Searched W4 profile, stage 8-15",454137582,float64,0,2e3f91b350eaef1b23c2d4ee14c513b2158a106bff7ed6c249b58e2cf89367f4,[92],2839725875,paired,4,False
"Searched W4 profile, stage 8-15",1251647445,float64,0,63f019944e240d60a5770936f1eaa3853e38bbfeb1c26c987826fb004ed4346c,[92],1544747915,paired,5,False
"Searched W4 profile, stage 8-15",826398649,float64,0,d81530779b15be6bdfe4935a7a802102e3e3883823b29fefd40a2131e50fd515,[92],1638194258,paired,6,True
"Searched W4 profile, stage 8-15",3272506420,float64,0,501105aff4e1897d96cac0d0ee69fc702ad209e317511807e27df8b421ae1f2a,[92],2049932347,paired,7,False
"Searched W4 profile, stage 8-15",1263820061,float64,0,aef30979e2ee8c9893c9161c881264362f750a34df952f381e3969a567688451,[92],1552913463,paired,8,True
"Searched W4 profile, stage 8-15",3561507932,float64,0,885cdd89e3d71824f79e4f0ae4711f9ca04367c0011147cb657ecc32be3f375b,[92],450174816,paired,9,True
