sample,Vision both (previous),DINO only,SigLIP only
sample-0064.npz,8.854632369548199e-07,1.4209571190804127e-06,9.730325700729736e-07
sample-0065.npz,0.0005603093886747956,0.0008078422979451716,0.001973883481696248
sample-0066.npz,1.4508675576507812e-06,1.6498254353791708e-06,9.736520496517187e-07
sample-0067.npz,0.00015166767116170377,0.00011039026139769703,2.026604488492012e-05
sample-0068.npz,1.6271244476229185e-06,1.27925886772573e-06,1.1541081903487793e-06
sample-0069.npz,9.743733244249597e-05,5.9022473578806967e-05,6.494232820841717e-06
sample-0070.npz,2.721673808991909e-06,3.1729662168800132e-06,2.985570745295263e-06
sample-0071.npz,2.753260105237132e-06,3.3809253636718495e-06,1.8104494756698841e-06
