configuration,env_seed,init_state_dtype,init_state_index,init_state_sha256,init_state_shape,model_seed,protocol,task_id,success
W4 all,3561507932,float64,0,885cdd89e3d71824f79e4f0ae4711f9ca04367c0011147cb657ecc32be3f375b,[92],450174816,paired,9,False
W4 all,4105394921,float64,1,9f7e0be6c15a36f64dae1f64c4e89799ab70078be2b9977ab38bce16aee041cf,[92],726939842,paired,9,True
W4 all,2353877349,float64,2,6e3698ba2ffc6e03326d30f3fd411f63e4d5304a967abf515195cbbcc61f512b,[92],2107833754,paired,9,True
W4 all,3274922811,float64,3,c886eacbd6a6b3c55108d5e17d8d0f865c08b7841f1c0f0393df6b4da9dc53c3,[92],1708122752,paired,9,True
W4 all,3927573222,float64,4,49ada1c8c36ae86de4d6288f08b9434efbd67ded5688382fd38b0d4c95304177,[92],3202393551,paired,9,True
W2 + stage 8-23 W4,479881589,float64,0,4e3eaf7a315bc3bafb6db4837c8eef0e5f8aea717782a2a3ea33139392d966ed,[92],465287134,paired,0,True
W2 + stage 8-23 W4,3713942108,float64,1,6c2936dc25a97728b811f9db579687d011cbd231d5472e985775a67ca9892cf8,[92],985901067,paired,0,True
W2 + stage 8-23 W4,2254903377,float64,2,a5d4b6d871eb48c276a3fc8499e1429ec1c59df278466aa82de44a93260087a0,[92],1089926278,paired,0,True
W2 + stage 8-23 W4,1269467499,float64,3,c12064bdc97da3ba4ca3675548ba9c76ed096ea772bbec9ca9422628c41b1588,[92],428639054,paired,0,True
W2 + stage 8-23 W4,976658741,float64,4,63dbd6b627e35e377a62f3e791055bc9051a74cab6fef9eadce7892671160536,[92],1138622588,paired,0,True
W2 + stage 8-23 W4,1902436990,float64,0,d116842e01703fbea595511db813a3816c8d9f2302b4e979ebec4f15b7a750a2,[92],895221483,paired,1,True
W2 + stage 8-23 W4,3193132351,float64,1,b8757ca36fc25bb010af8934ff98b8d3a221cbd3a5e38e7b07cc8055c3108a0b,[92],2238682485,paired,1,True
W2 + stage 8-23 W4,2264057504,float64,2,d45a8bb759e662331e34b0ade8f7a4ca847993b682d3299aaa4894b340c845a0,[92],296476957,paired,1,True
W2 + stage 8-23 W4,3330955239,float64,3,9cdfce0fe3434dc2c261272bc32dd3b56956de7c14e1e6d4c8a76aa7323e0f4d,[92],27433045,paired,1,True
W2 + stage 8-23 W4,1406908098,float64,4,97916cb27d2a1b9650016b93bbc33aa2855dfbdd11ded29650da8357c5c418e2,[92],1425332404,paired,1,True
W2 + stage 8-23 W4,149951664,float64,0,408c455fb617e5320060d643ef80ec2035d4e98600659cc3deb5a1e85482bf76,[92],1881067349,paired,2,True
W2 + stage 8-23 W4,842477126,float64,1,05962fe9baf173d80806225d32a331fa8eedcdb5c14a085ee5354715380c0f8f,[92],2880381178,paired,2,True
W2 + stage 8-23 W4,52979162,float64,2,111971abb8f2e699872e68aa0ed445287da5c2ed642a5da083a9c9d4d90a6d12,[92],3611984967,paired,2,True
W2 + stage 8-23 W4,3892889163,float64,3,8e240fdf6a9c939b6cbf573f7e07a29d3078fb53d22b17dc595b730c0de21fd4,[92],3331343309,paired,2,True
W2 + stage 8-23 W4,3817868962,float64,4,ec0ce01e43aac4b4465f6d7932a486df948ce36a096fe5970b677623505673a8,[92],1228687370,paired,2,True
W2 + stage 8-23 W4,83054608,float64,0,36424fa758f0e72399a35cefa285d0658e4b5bd17bfb3e2127f85aa2e0944517,[92],317574532,paired,3,True
W2 + stage 8-23 W4,974896410,float64,1,3a92ca9cb754b9daca5db603179f05e323c01209edfaf5d287655d5998252f9f,[92],1605081372,paired,3,True
W2 + stage 8-23 W4,3267605957,float64,2,1b7b03eb038b60bd3d265226a1f5832c44ebb968731ac264f8983ceebb1774e5,[92],3086421667,paired,3,True
W2 + stage 8-23 W4,5015874,float64,3,904c8983a02abc68413c2b0c2b1863f9b7f97a5948b718b9ae113727777ae23a,[92],3235596642,paired,3,True
W2 + stage 8-23 W4,3841510475,float64,4,6aac318bd2ff7b4e940c094d4d4eb128449f99e34ce1fc2fb6e3bdba1c474b95,[92],2186097654,paired,3,True
