configuration,sample,block,token_partition,relative_mse,cosine,max_abs_error
repeat,sample-0064.npz,15,image_wrist,0.0,1.000003695487976,0.0
repeat,sample-0064.npz,15,proprio,0.0,1.0000007152557373,0.0
repeat,sample-0064.npz,15,text,0.0,1.0000020265579224,0.0
repeat,sample-0064.npz,15,action_readout,0.0,0.9999828934669495,0.0
repeat,sample-0064.npz,16,image_main,0.0,0.9999997019767761,0.0
repeat,sample-0064.npz,16,image_wrist,0.0,1.0000038146972656,0.0
repeat,sample-0064.npz,16,proprio,0.0,1.0000005960464478,0.0
repeat,sample-0064.npz,16,text,0.0,1.000002145767212,0.0
repeat,sample-0064.npz,16,action_readout,0.0,0.999983549118042,0.0
repeat,sample-0064.npz,17,image_main,0.0,0.9999995827674866,0.0
repeat,sample-0064.npz,17,image_wrist,0.0,1.0000040531158447,0.0
repeat,sample-0064.npz,17,proprio,0.0,1.0000007152557373,0.0
repeat,sample-0064.npz,17,text,0.0,1.0000027418136597,0.0
repeat,sample-0064.npz,17,action_readout,0.0,0.9999909400939941,0.0
repeat,sample-0064.npz,18,image_main,0.0,0.9999997615814209,0.0
repeat,sample-0064.npz,18,image_wrist,0.0,1.000003457069397,0.0
repeat,sample-0064.npz,18,proprio,0.0,1.0000007152557373,0.0
repeat,sample-0064.npz,18,text,0.0,1.0000028610229492,0.0
repeat,sample-0064.npz,18,action_readout,0.0,0.999993085861206,0.0
repeat,sample-0064.npz,19,image_main,0.0,1.0000003576278687,0.0
repeat,sample-0064.npz,19,image_wrist,0.0,1.0000040531158447,0.0
repeat,sample-0064.npz,19,proprio,0.0,1.0000007152557373,0.0
repeat,sample-0064.npz,19,text,0.0,1.000003457069397,0.0
repeat,sample-0064.npz,19,action_readout,0.0,0.9999943971633911,0.0
repeat,sample-0064.npz,20,image_main,0.0,1.0000008344650269,0.0
repeat,sample-0064.npz,20,image_wrist,0.0,1.0000038146972656,0.0
repeat,sample-0064.npz,20,proprio,0.0,1.0000007152557373,0.0
repeat,sample-0064.npz,20,text,0.0,1.000003457069397,0.0
repeat,sample-0064.npz,20,action_readout,0.0,0.9999866485595703,0.0
repeat,sample-0064.npz,21,image_main,0.0,1.0000019073486328,0.0
repeat,sample-0064.npz,21,image_wrist,0.0,1.0000016689300537,0.0
repeat,sample-0064.npz,21,proprio,0.0,1.0000007152557373,0.0
repeat,sample-0064.npz,21,text,0.0,1.0000046491622925,0.0
repeat,sample-0064.npz,21,action_readout,0.0,0.9999846816062927,0.0
repeat,sample-0064.npz,22,image_main,0.0,1.0000017881393433,0.0
repeat,sample-0064.npz,22,image_wrist,0.0,1.0000007152557373,0.0
repeat,sample-0064.npz,22,proprio,0.0,1.0000007152557373,0.0
repeat,sample-0064.npz,22,text,0.0,1.000004529953003,0.0
repeat,sample-0064.npz,22,action_readout,0.0,0.9999876618385315,0.0
repeat,sample-0064.npz,23,image_main,0.0,1.0000004768371582,0.0
repeat,sample-0064.npz,23,image_wrist,0.0,1.0000016689300537,0.0
repeat,sample-0064.npz,23,proprio,0.0,1.0000007152557373,0.0
repeat,sample-0064.npz,23,text,0.0,1.0000040531158447,0.0
repeat,sample-0064.npz,23,action_readout,0.0,0.9999911189079285,0.0
repeat,sample-0064.npz,24,image_main,0.0,0.9999988675117493,0.0
repeat,sample-0064.npz,24,image_wrist,0.0,1.000001311302185,0.0
repeat,sample-0064.npz,24,proprio,0.0,1.0000005960464478,0.0
repeat,sample-0064.npz,24,text,0.0,1.0000041723251343,0.0
