configuration,frames,chunk_steps,mean_teacher_action_mse,median_teacher_action_mse,max_teacher_action_mse,gripper_disagreements,improved_frames,worsened_frames,mean_paired_mse_difference,exploratory_bootstrap_low,exploratory_bootstrap_high,evidence_class
W2 no-clip baseline,32,8,0.06972660918836482,0.0631791464984417,0.17896972596645355,15,0,0,0.0,0.0,0.0,fetched_actual_metrics_development
"W4 blocks 0,1,2,3,4,5,6,7",32,8,0.05122426575690042,0.04807421192526817,0.13226136565208435,9,30,2,-0.018502343431464396,-0.025345874735285177,-0.01242168644384947,fetched_actual_metrics_development
"W4 blocks 8,9,10,11,12,13,14,15",32,8,0.029689878145291004,0.025246907025575638,0.07375713437795639,4,32,0,-0.040036731043073814,-0.050438321682304374,-0.030653485707989606,fetched_actual_metrics_development
"W4 blocks 16,17,18,19,20,21,22,23",32,8,0.035839286698319484,0.029405303299427032,0.11658964306116104,7,32,0,-0.033887322490045335,-0.04304429254334537,-0.02576896459650016,fetched_actual_metrics_development
"W4 blocks 24,25,26,27,28,29,30,31",32,8,0.06314108581864275,0.053898515179753304,0.18913981318473816,12,24,8,-0.006585523369722068,-0.009710483443632257,-0.00374117851315532,fetched_actual_metrics_development
