task_id,init_state_index,bf16_success,candidate_success,bf16_video,candidate_video,source_shard
5,23,True,False,/root/rollouts/2026_09_17/2026_09_17-12_52_42--openvla_oft--episode=59--success=True--task=pick_up_the_black_bowl_on_the_ramekin_and_place_it.mp4,/root/rollouts/2026_09_17/2026_09_17-21_46_17--openvla_oft--episode=59--success=False--task=pick_up_the_black_bowl_on_the_ramekin_and_place_it.mp4,awq-scope-shard-vision-w2-15-24-20260917-214554-50802
5,27,True,False,/root/rollouts/2026_09_17/2026_09_17-18_26_56--openvla_oft--episode=41--success=True--task=pick_up_the_black_bowl_on_the_ramekin_and_place_it.mp4,/root/rollouts/2026_09_17/2026_09_17-22_05_27--openvla_oft--episode=28--success=False--task=pick_up_the_black_bowl_on_the_ramekin_and_place_it.mp4,awq-scope-shard-vision-w2-25-29-20260917-220504-56292
5,30,True,False,/root/rollouts/2026_09_17/2026_09_17-18_26_56--openvla_oft--episode=44--success=True--task=pick_up_the_black_bowl_on_the_ramekin_and_place_it.mp4,/root/rollouts/2026_09_18/2026_09_18-01_32_15--openvla_oft--episode=51--success=False--task=pick_up_the_black_bowl_on_the_ramekin_and_place_it.mp4,awq-scope-shard-vision-w2-30-39-20260918-013150-63930
5,33,False,True,/root/rollouts/2026_09_17/2026_09_17-18_26_56--openvla_oft--episode=47--success=False--task=pick_up_the_black_bowl_on_the_ramekin_and_place_it.mp4,/root/rollouts/2026_09_18/2026_09_18-01_32_15--openvla_oft--episode=54--success=True--task=pick_up_the_black_bowl_on_the_ramekin_and_place_it.mp4,awq-scope-shard-vision-w2-30-39-20260918-013150-63930
7,8,True,False,/root/rollouts/2026_09_17/2026_09_17-12_17_17--openvla_oft--episode=74--success=True--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,/root/rollouts/2026_09_17/2026_09_17-20_25_12--openvla_oft--episode=74--success=False--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,awq-scope-shard-vision-w2-05-14-20260917-202448-31883
7,10,False,True,/root/rollouts/2026_09_17/2026_09_17-12_17_17--openvla_oft--episode=76--success=False--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,/root/rollouts/2026_09_17/2026_09_17-20_25_12--openvla_oft--episode=76--success=True--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,awq-scope-shard-vision-w2-05-14-20260917-202448-31883
7,13,False,True,/root/rollouts/2026_09_17/2026_09_17-12_17_17--openvla_oft--episode=79--success=False--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,/root/rollouts/2026_09_17/2026_09_17-20_25_12--openvla_oft--episode=79--success=True--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,awq-scope-shard-vision-w2-05-14-20260917-202448-31883
7,14,True,False,/root/rollouts/2026_09_17/2026_09_17-12_17_17--openvla_oft--episode=80--success=True--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,/root/rollouts/2026_09_17/2026_09_17-20_25_12--openvla_oft--episode=80--success=False--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,awq-scope-shard-vision-w2-05-14-20260917-202448-31883
7,20,True,False,/root/rollouts/2026_09_17/2026_09_17-12_52_42--openvla_oft--episode=76--success=True--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,/root/rollouts/2026_09_17/2026_09_17-21_46_17--openvla_oft--episode=76--success=False--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,awq-scope-shard-vision-w2-15-24-20260917-214554-50802
7,21,True,False,/root/rollouts/2026_09_17/2026_09_17-12_52_42--openvla_oft--episode=77--success=True--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,/root/rollouts/2026_09_17/2026_09_17-21_46_17--openvla_oft--episode=77--success=False--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,awq-scope-shard-vision-w2-15-24-20260917-214554-50802
7,27,False,True,/root/rollouts/2026_09_17/2026_09_17-18_26_56--openvla_oft--episode=57--success=False--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,/root/rollouts/2026_09_17/2026_09_17-22_05_27--openvla_oft--episode=38--success=True--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,awq-scope-shard-vision-w2-25-29-20260917-220504-56292
7,28,True,False,/root/rollouts/2026_09_17/2026_09_17-18_26_56--openvla_oft--episode=58--success=True--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,/root/rollouts/2026_09_17/2026_09_17-22_05_27--openvla_oft--episode=39--success=False--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,awq-scope-shard-vision-w2-25-29-20260917-220504-56292
7,29,False,True,/root/rollouts/2026_09_17/2026_09_17-18_26_56--openvla_oft--episode=59--success=False--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,/root/rollouts/2026_09_17/2026_09_17-22_05_27--openvla_oft--episode=40--success=True--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,awq-scope-shard-vision-w2-25-29-20260917-220504-56292
7,36,True,False,/root/rollouts/2026_09_17/2026_09_17-19_01_24--openvla_oft--episode=72--success=True--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,/root/rollouts/2026_09_18/2026_09_18-01_32_15--openvla_oft--episode=77--success=False--task=pick_up_the_black_bowl_on_the_stove_and_place_it_o.mp4,awq-scope-shard-vision-w2-30-39-20260918-013150-63930
9,13,False,True,/root/rollouts/2026_09_17/2026_09_17-12_17_17--openvla_oft--episode=99--success=False--task=pick_up_the_black_bowl_on_the_wooden_cabinet_and_p.mp4,/root/rollouts/2026_09_17/2026_09_17-20_25_12--openvla_oft--episode=99--success=True--task=pick_up_the_black_bowl_on_the_wooden_cabinet_and_p.mp4,awq-scope-shard-vision-w2-05-14-20260917-202448-31883
9,23,True,False,/root/rollouts/2026_09_17/2026_09_17-12_52_42--openvla_oft--episode=99--success=True--task=pick_up_the_black_bowl_on_the_wooden_cabinet_and_p.mp4,/root/rollouts/2026_09_17/2026_09_17-21_46_17--openvla_oft--episode=99--success=False--task=pick_up_the_black_bowl_on_the_wooden_cabinet_and_p.mp4,awq-scope-shard-vision-w2-15-24-20260917-214554-50802
9,28,True,False,/root/rollouts/2026_09_17/2026_09_17-18_26_56--openvla_oft--episode=74--success=True--task=pick_up_the_black_bowl_on_the_wooden_cabinet_and_p.mp4,/root/rollouts/2026_09_17/2026_09_17-22_05_27--openvla_oft--episode=49--success=False--task=pick_up_the_black_bowl_on_the_wooden_cabinet_and_p.mp4,awq-scope-shard-vision-w2-25-29-20260917-220504-56292
