configuration,frames,mean_teacher_action_mse,gripper_disagreements,rescue_coordinates,evidence_class
attention,32,0.04736661206698045,9,original_W2_no_clip,fetched_actual_development_family_precision_no_peft
mlp,32,0.04872760333819315,10,original_W2_no_clip,fetched_actual_development_family_precision_no_peft
