case,module,rank,adapter_parameters,residual_frobenius_unexplained_fraction,input_diagonal_unexplained_fraction,response_unexplained_fraction,init,seed
Response SVD rank8,language_model.model.layers.12.mlp.gate_proj,8,120832,0.9972404837608337,0.9972404837608337,0.1795899122953415,randomized_svd_calibration_response_not_training,1908392608
Response SVD rank8,language_model.model.layers.12.mlp.up_proj,8,120832,0.9973070621490479,0.9973070621490479,0.1804986298084259,randomized_svd_calibration_response_not_training,1997787133
Response SVD rank8,language_model.model.layers.12.mlp.down_proj,8,120832,0.9971891045570374,0.9971891045570374,0.2820015549659729,randomized_svd_calibration_response_not_training,1820965824
Response SVD rank8,language_model.model.layers.13.self_attn.q_proj,8,65536,0.9956108927726746,0.9956108927726746,0.1416197419166565,randomized_svd_calibration_response_not_training,3167913662
Response SVD rank8,language_model.model.layers.13.self_attn.k_proj,8,65536,0.9954518675804138,0.9954518675804138,0.13354498147964478,randomized_svd_calibration_response_not_training,4099174251
Response SVD rank8,language_model.model.layers.13.self_attn.v_proj,8,65536,0.9957711696624756,0.9957711696624756,0.16431881487369537,randomized_svd_calibration_response_not_training,2255123938
Response SVD rank8,language_model.model.layers.13.self_attn.o_proj,8,65536,0.9954816102981567,0.9954816102981567,0.1107899472117424,randomized_svd_calibration_response_not_training,10823171
Response SVD rank8,language_model.model.layers.13.mlp.gate_proj,8,120832,0.9972437620162964,0.9972437620162964,0.1823194921016693,randomized_svd_calibration_response_not_training,2054865174
Response SVD rank8,language_model.model.layers.13.mlp.up_proj,8,120832,0.9973029494285583,0.9973029494285583,0.18404488265514374,randomized_svd_calibration_response_not_training,3150206221
Response SVD rank8,language_model.model.layers.13.mlp.down_proj,8,120832,0.9972743988037109,0.9972743988037109,0.29048195481300354,randomized_svd_calibration_response_not_training,4294824990
Response SVD rank8,language_model.model.layers.14.self_attn.q_proj,8,65536,0.9956144690513611,0.9956144690513611,0.1504231095314026,randomized_svd_calibration_response_not_training,3583579581
Response SVD rank8,language_model.model.layers.14.self_attn.k_proj,8,65536,0.9955139756202698,0.9955139756202698,0.1476140320301056,randomized_svd_calibration_response_not_training,3343755845
Response SVD rank8,language_model.model.layers.14.self_attn.v_proj,8,65536,0.9957265257835388,0.9957265257835388,0.16890202462673187,randomized_svd_calibration_response_not_training,2200128052
Response SVD rank8,language_model.model.layers.14.self_attn.o_proj,8,65536,0.99517422914505,0.99517422914505,0.10680198669433594,randomized_svd_calibration_response_not_training,2082182665
Response SVD rank8,language_model.model.layers.14.mlp.gate_proj,8,120832,0.9972551465034485,0.9972551465034485,0.18520571291446686,randomized_svd_calibration_response_not_training,3976929414
Response SVD rank8,language_model.model.layers.14.mlp.up_proj,8,120832,0.9972956776618958,0.9972956776618958,0.18300682306289673,randomized_svd_calibration_response_not_training,3555579885
Response SVD rank8,language_model.model.layers.14.mlp.down_proj,8,120832,0.9972550272941589,0.9972550272941589,0.27437642216682434,randomized_svd_calibration_response_not_training,2461029770
Response SVD rank8,language_model.model.layers.15.self_attn.q_proj,8,65536,0.9954124689102173,0.9954124689102173,0.16308799386024475,randomized_svd_calibration_response_not_training,2611537525
Response SVD rank8,language_model.model.layers.15.self_attn.k_proj,8,65536,0.9953005313873291,0.9953005313873291,0.15618592500686646,randomized_svd_calibration_response_not_training,3953350456
Response SVD rank8,language_model.model.layers.15.self_attn.v_proj,8,65536,0.9956989884376526,0.9956989884376526,0.17998528480529785,randomized_svd_calibration_response_not_training,2029862078
Response SVD rank8,language_model.model.layers.15.self_attn.o_proj,8,65536,0.9948331713676453,0.9948331713676453,0.13434946537017822,randomized_svd_calibration_response_not_training,2606596704
Response SVD rank8,language_model.model.layers.15.mlp.gate_proj,8,120832,0.9972526431083679,0.9972526431083679,0.18983271718025208,randomized_svd_calibration_response_not_training,3918625355
Response SVD rank8,language_model.model.layers.15.mlp.up_proj,8,120832,0.997310221195221,0.997310221195221,0.1902216672897339,randomized_svd_calibration_response_not_training,821091832
Response SVD rank8,language_model.model.layers.15.mlp.down_proj,8,120832,0.9972411394119263,0.9972411394119263,0.2850176990032196,randomized_svd_calibration_response_not_training,2006100975
Response SVD rank16,language_model.model.layers.8.self_attn.q_proj,16,131072,0.9881219267845154,0.9881219267845154,0.03509676456451416,randomized_svd_calibration_response_not_training,600723156
Response SVD rank16,language_model.model.layers.8.self_attn.k_proj,16,131072,0.9873645901679993,0.9873645901679993,0.034309305250644684,randomized_svd_calibration_response_not_training,671879264
Response SVD rank16,language_model.model.layers.8.self_attn.v_proj,16,131072,0.9915969967842102,0.9915969967842102,0.03867635875940323,randomized_svd_calibration_response_not_training,677178197
Response SVD rank16,language_model.model.layers.8.self_attn.o_proj,16,131072,0.9879276156425476,0.9879276156425476,0.019603081047534943,randomized_svd_calibration_response_not_training,2582803191
Response SVD rank16,language_model.model.layers.8.mlp.gate_proj,16,241664,0.9945572018623352,0.9945572018623352,0.039334215223789215,randomized_svd_calibration_response_not_training,3169292685
Response SVD rank16,language_model.model.layers.8.mlp.up_proj,16,241664,0.9945936799049377,0.9945936799049377,0.03875104710459709,randomized_svd_calibration_response_not_training,1875256024
Response SVD rank16,language_model.model.layers.8.mlp.down_proj,16,241664,0.9941510558128357,0.9941510558128357,0.06537090241909027,randomized_svd_calibration_response_not_training,1008555339
Response SVD rank16,language_model.model.layers.9.self_attn.q_proj,16,131072,0.9893844127655029,0.9893844127655029,0.034607626497745514,randomized_svd_calibration_response_not_training,723516639
Response SVD rank16,language_model.model.layers.9.self_attn.k_proj,16,131072,0.9893662333488464,0.9893662333488464,0.034767381846904755,randomized_svd_calibration_response_not_training,1014038165
Response SVD rank16,language_model.model.layers.9.self_attn.v_proj,16,131072,0.9916147589683533,0.9916147589683533,0.038442060351371765,randomized_svd_calibration_response_not_training,1837934926
Response SVD rank16,language_model.model.layers.9.self_attn.o_proj,16,131072,0.9900153875350952,0.9900153875350952,0.028117133304476738,randomized_svd_calibration_response_not_training,1079540553
